2025-Oct-28 14:34:21, EnergyPlus Terminated--Fatal Error Detected. 3 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.36sec,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.idf,D:\Grid_Workflow_Overall\database\weather\Srinagar\Srinagar_2014.epw,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BCMeter.csv,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.eio,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.mtd,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BCZsz.csv,,,,,,,,,,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.audit,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.bnd,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.eso,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.mtr,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.rvaudit,,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.err,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.csv,
2025-Oct-28 14:55:04, EnergyPlus Terminated--Fatal Error Detected. 3 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  0.33sec,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.idf,D:\Grid_Workflow_Overall\database\weather\Srinagar\Srinagar_2014.epw,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BCMeter.csv,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.eio,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.mtd,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BCZsz.csv,,,,,,,,,,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.audit,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.bnd,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.eso,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.mtr,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.rvaudit,,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.err,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC.csv,
2025-Oct-30 12:02:18, EnergyPlus Completed Successfully-- 68 Warning; 1 Severe Errors; Elapsed Time=00hr 01min 41.46sec,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.idf,D:\Grid_Workflow_Overall\database\weather\Srinagar\Srinagar_2014.epw,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - CopyMeter.csv,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - CopyTable.csv,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - CopyTable.html,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.rdd,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.mdd,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.eio,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.mtd,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - CopyZsz.csv,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - CopySsz.csv,,,,,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.shd,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.audit,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.bnd,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.eso,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.mtr,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.rvaudit,,,,,,,,,,,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.err,D:\Grid_Workflow_Overall\IDF\2025_05_28_1BHk_LR_BC - Copy.csv,
